id,eps,codigo_cups,descripcion,tarifa
200,EMSSANAR_CAPITA,907005,FROTIS RECTAL ( IDENTIFICACION DE TROFOZOITOS ),
201,EMSSANAR_CAPITA,907008,SANGRE OCULTA EN MATERIA FECAL [ GUAYACO O EQUIVALENTE ],
202,EMSSANAR_CAPITA,907106,UROANALISIS,
203,EMSSANAR_CAPITA,911015,HEMOCLASIFICACION SISTEMA RH [ ANTIGENO RH D ] POR MICROTECNICA,
204,EMSSANAR_CAPITA,911016,HEMOCLASIFICACION SISTEMA RH [ ANTIGENO RH D ] EN TUBO,
205,EMSSANAR_CAPITA,911017,HEMOCLASIFICACION SISTEMA ABO DIRECTA [ HEMOCLASIFICACION GLOBULAR ] POR MICROTECNICA,
206,EMSSANAR_CAPITA,911018,HEMOCLASIFICACION SISTEMA ABO DIRECTA [ HEMOCLASIFICACION GLOBULAR ] EN TUBO,
207,EMSSANAR_CAPITA,911019,HEMOCLASIFICACION SISTEMA ABO INVERSA [ HEMOCLASIFICACION SERICA ] POR MICROTECNICA,
208,EMSSANAR_CAPITA,911020,HEMOCLASIFICACION SISTEMA ABO INVERSA [ HEMOCLASIFICACION SERICA ] EN TUBO,
209,EMSSANAR_CAPITA,935001,INMOVILIZACION - PRESION Y CUIDADO DE HERIDA,
210,EMSSANAR_CAPITA,935101,APLICACION DE VENDAJE ENYESADO,
211,EMSSANAR_CAPITA,935301,APLICACION O CAMBIO DE YESO PARA INMOVILIZACION EN MIEMBRO SUPERIOR ( EXCEPTO MANO ),
212,EMSSANAR_CAPITA,935302,APLICACION O CAMBIO DE YESO PARA INMOVILIZACION EN MANO,
213,EMSSANAR_CAPITA,935303,APLICACION O CAMBIO DE YESO O ARNES TORACOLUMBOSACRO,
214,EMSSANAR_CAPITA,935304,APLICACION O CAMBIO DE YESO PARA INMOVILIZACION EN MIEMBRO INFERIOR ( MUSLO - PIERNA O TOBILLO ),
215,EMSSANAR_CAPITA,935305,APLICACION O CAMBIO DE YESO EN PIE,
216,EMSSANAR_CAPITA,935306,APLICACION O CAMBIO DE YESO - ESPICA - ARNES O ALMOHADILLA PARA INMOVILIZACION DE PELVIS ( CADERA ),
217,EMSSANAR_CAPITA,935401,APLICACION DE FERULA,
218,EMSSANAR_CAPITA,935701,APLICACION DE OTRO VENDAJE ( NO COMPRESIVO ) EN HERIDA,
219,EMSSANAR_CAPITA,935901,APLICACION DE VENDAJE DE VELPEAU,
220,EMSSANAR_CAPITA,936801,INMOVILIZACION O MANIPULACION ARTICULAR INESPECIFICA,
221,EMSSANAR_CAPITA,939402,NEBULIZACION,
222,EMSSANAR_CAPITA,943102,PSICOTERAPIA INDIVIDUAL POR PSICOLOGIA,
223,EMSSANAR_CAPITA,944102,PSICOTERAPIA FAMILIAR POR PSICOLOGIA,
224,EMSSANAR_CAPITA,944202,PSICOTERAPIA DE GRUPO POR PSICOLOGIA,
225,EMSSANAR_CAPITA,960701,INSERCION DE OTRO TUBO O SONDA NASO-GASTRICA ( INTUBACION PARA DECOMPRESION ),
226,EMSSANAR_CAPITA,961601,INSERCION DE DISPOSITIVO EN URETRA,
227,EMSSANAR_CAPITA,963301,LAVADO GASTRICO DE LIMPIEZA,
228,EMSSANAR_CAPITA,963801,EXTRACCION DIGITAL O MANUAL DE HECES IMPACTADAS,
229,EMSSANAR_CAPITA,963901,IRRIGACION O ENEMA TRANSANAL,
230,EMSSANAR_CAPITA,965101,IRRIGACION Y LAVADO DEL OJO,
231,EMSSANAR_CAPITA,965201,LAVADO E IRRIGACION DE OIDOS,
232,EMSSANAR_CAPITA,965301,IRRIGACION O CURACION DE CONDUCTOS NASALES,
233,EMSSANAR_CAPITA,965901,LAVADO - IRRIGACION Y CUIDADOS DE HERIDA EN AREA GENERAL,
234,EMSSANAR_CAPITA,971101,SUSTITUCION DE ESCAYOLA O FERULA EN MIEMBRO SUPERIOR,
235,EMSSANAR_CAPITA,971201,SUSTITUCION DE ESCAYOLA O FERULA EN MIEMBRO INFERIOR,
236,EMSSANAR_CAPITA,971401,SUSTITUCION DE OTRO DISPOSITIVO PARA INMOVILIZACION MUSCULOESQUELETICA,
237,EMSSANAR_CAPITA,971601,SUSTITUCION DE TAPON O DRENAJE DE HERIDA,
238,EMSSANAR_CAPITA,972101,SUSTITUCION DE TAPON NASAL,
239,EMSSANAR_CAPITA,972201,SUSTITUCION DE TAPON DENTAL,
240,EMSSANAR_CAPITA,973201,EXTRACCION DE TAPON NASAL,
241,EMSSANAR_CAPITA,973801,RETIRO DE SUTURAS DE CABEZA Y CUELLO ( RETIRO DE PUNTOS ),
